package,version,license_metadata,repository,package_json_path,license_files
@img/sharp-win32-x64,0.34.5,Apache-2.0 AND LGPL-3.0-or-later,git+https://github.com/lovell/sharp.git,node_modules/.pnpm/@img+sharp-win32-x64@0.34.5/node_modules/@img/sharp-win32-x64/package.json,LICENSE
@jridgewell/gen-mapping,0.3.13,MIT,git+https://github.com/jridgewell/sourcemaps.git,node_modules/.pnpm/@jridgewell+gen-mapping@0.3.13/node_modules/@jridgewell/gen-mapping/package.json,LICENSE
@jridgewell/remapping,2.3.5,MIT,git+https://github.com/jridgewell/sourcemaps.git,node_modules/.pnpm/@jridgewell+remapping@2.3.5/node_modules/@jridgewell/remapping/package.json,LICENSE
@jridgewell/resolve-uri,3.1.2,MIT,https://github.com/jridgewell/resolve-uri,node_modules/.pnpm/@jridgewell+resolve-uri@3.1.2/node_modules/@jridgewell/resolve-uri/package.json,LICENSE
@jridgewell/sourcemap-codec,1.5.5,MIT,git+https://github.com/jridgewell/sourcemaps.git,node_modules/.pnpm/@jridgewell+sourcemap-codec@1.5.5/node_modules/@jridgewell/sourcemap-codec/package.json,LICENSE
@jridgewell/trace-mapping,0.3.31,MIT,git+https://github.com/jridgewell/sourcemaps.git,node_modules/.pnpm/@jridgewell+trace-mapping@0.3.31/node_modules/@jridgewell/trace-mapping/package.json,LICENSE
@next/env,16.2.6,MIT,https://github.com/vercel/next.js,node_modules/.pnpm/@next+env@16.2.6/node_modules/@next/env/package.json,(none bundled at package root)
@next/eslint-plugin-next,16.2.6,MIT,vercel/next.js,node_modules/.pnpm/@next+eslint-plugin-next@16.2.6/node_modules/@next/eslint-plugin-next/package.json,(none bundled at package root)
@next/swc-win32-x64-msvc,16.2.6,MIT,https://github.com/vercel/next.js,node_modules/.pnpm/@next+swc-win32-x64-msvc@16.2.6/node_modules/@next/swc-win32-x64-msvc/package.json,(none bundled at package root)
@nodelib/fs.scandir,2.1.5,MIT,https://github.com/nodelib/nodelib/tree/master/packages/fs/fs.scandir,node_modules/.pnpm/@nodelib+fs.scandir@2.1.5/node_modules/@nodelib/fs.scandir/package.json,LICENSE
@nodelib/fs.stat,2.0.5,MIT,https://github.com/nodelib/nodelib/tree/master/packages/fs/fs.stat,node_modules/.pnpm/@nodelib+fs.stat@2.0.5/node_modules/@nodelib/fs.stat/package.json,LICENSE
@nodelib/fs.walk,1.2.8,MIT,https://github.com/nodelib/nodelib/tree/master/packages/fs/fs.walk,node_modules/.pnpm/@nodelib+fs.walk@1.2.8/node_modules/@nodelib/fs.walk/package.json,LICENSE
@nolyfill/is-core-module,1.0.39,MIT,https://github.com/SukkaW/nolyfill,node_modules/.pnpm/@nolyfill+is-core-module@1.0.39/node_modules/@nolyfill/is-core-module/package.json,LICENSE
@react-leaflet/core,3.0.0,Hippocratic-2.1,https://github.com/PaulLeCam/react-leaflet.git,node_modules/.pnpm/@react-leaflet+core@3.0.0_l_8d071b916b9b316525cfc28b9ee0ea39/node_modules/@react-leaflet/core/package.json,LICENSE.md
@rtsao/scc,1.1.0,MIT,rtsao/scc,node_modules/.pnpm/@rtsao+scc@1.1.0/node_modules/@rtsao/scc/package.json,LICENSE
@swc/helpers,0.5.15,Apache-2.0,git+https://github.com/swc-project/swc.git,node_modules/.pnpm/@swc+helpers@0.5.15/node_modules/@swc/helpers/package.json,LICENSE
@tailwindcss/node,4.3.0,MIT,https://github.com/tailwindlabs/tailwindcss.git,node_modules/.pnpm/@tailwindcss+node@4.3.0/node_modules/@tailwindcss/node/package.json,LICENSE
@tailwindcss/oxide,4.3.0,MIT,git+https://github.com/tailwindlabs/tailwindcss.git,node_modules/.pnpm/@tailwindcss+oxide@4.3.0/node_modules/@tailwindcss/oxide/package.json,LICENSE
@tailwindcss/oxide-win32-x64-msvc,4.3.0,MIT,git+https://github.com/tailwindlabs/tailwindcss.git,node_modules/.pnpm/@tailwindcss+oxide-win32-x64-msvc@4.3.0/node_modules/@tailwindcss/oxide-win32-x64-msvc/package.json,LICENSE
@tailwindcss/postcss,4.3.0,MIT,https://github.com/tailwindlabs/tailwindcss.git,node_modules/.pnpm/@tailwindcss+postcss@4.3.0/node_modules/@tailwindcss/postcss/package.json,LICENSE
@turf/bbox,7.3.5,MIT,git://github.com/Turfjs/turf.git,node_modules/.pnpm/@turf+bbox@7.3.5/node_modules/@turf/bbox/package.json,LICENSE
@turf/boolean-contains,7.3.5,MIT,git://github.com/Turfjs/turf.git,node_modules/.pnpm/@turf+boolean-contains@7.3.5/node_modules/@turf/boolean-contains/package.json,LICENSE
@turf/boolean-point-in-polygon,7.3.5,MIT,git://github.com/Turfjs/turf.git,node_modules/.pnpm/@turf+boolean-point-in-polygon@7.3.5/node_modules/@turf/boolean-point-in-polygon/package.json,LICENSE
@turf/boolean-point-on-line,7.3.5,MIT,git://github.com/Turfjs/turf.git,node_modules/.pnpm/@turf+boolean-point-on-line@7.3.5/node_modules/@turf/boolean-point-on-line/package.json,LICENSE
@turf/distance,7.3.5,MIT,git://github.com/Turfjs/turf.git,node_modules/.pnpm/@turf+distance@7.3.5/node_modules/@turf/distance/package.json,LICENSE
@turf/geojson-rbush,7.3.5,MIT,git://github.com/Turfjs/turf.git,node_modules/.pnpm/@turf+geojson-rbush@7.3.5/node_modules/@turf/geojson-rbush/package.json,LICENSE
@turf/helpers,7.3.5,MIT,git://github.com/Turfjs/turf.git,node_modules/.pnpm/@turf+helpers@7.3.5/node_modules/@turf/helpers/package.json,LICENSE
@turf/invariant,7.3.5,MIT,git://github.com/Turfjs/turf.git,node_modules/.pnpm/@turf+invariant@7.3.5/node_modules/@turf/invariant/package.json,LICENSE
@turf/kinks,7.3.5,MIT,git://github.com/Turfjs/turf.git,node_modules/.pnpm/@turf+kinks@7.3.5/node_modules/@turf/kinks/package.json,LICENSE
@turf/line-intersect,7.3.5,MIT,git://github.com/Turfjs/turf.git,node_modules/.pnpm/@turf+line-intersect@7.3.5/node_modules/@turf/line-intersect/package.json,LICENSE
@turf/line-segment,7.3.5,MIT,git://github.com/Turfjs/turf.git,node_modules/.pnpm/@turf+line-segment@7.3.5/node_modules/@turf/line-segment/package.json,LICENSE
@turf/line-split,7.3.5,MIT,git://github.com/Turfjs/turf.git,node_modules/.pnpm/@turf+line-split@7.3.5/node_modules/@turf/line-split/package.json,LICENSE
@turf/meta,7.3.5,MIT,git://github.com/Turfjs/turf.git,node_modules/.pnpm/@turf+meta@7.3.5/node_modules/@turf/meta/package.json,LICENSE
@turf/nearest-point-on-line,7.3.5,MIT,git://github.com/Turfjs/turf.git,node_modules/.pnpm/@turf+nearest-point-on-line@7.3.5/node_modules/@turf/nearest-point-on-line/package.json,LICENSE
@turf/truncate,7.3.5,MIT,git://github.com/Turfjs/turf.git,node_modules/.pnpm/@turf+truncate@7.3.5/node_modules/@turf/truncate/package.json,LICENSE
@types/estree,1.0.9,MIT,https://github.com/DefinitelyTyped/DefinitelyTyped.git,node_modules/.pnpm/@types+estree@1.0.9/node_modules/@types/estree/package.json,LICENSE
@types/geojson,7946.0.16,MIT,https://github.com/DefinitelyTyped/DefinitelyTyped.git,node_modules/.pnpm/@types+geojson@7946.0.16/node_modules/@types/geojson/package.json,LICENSE
@types/json-schema,7.0.15,MIT,https://github.com/DefinitelyTyped/DefinitelyTyped.git,node_modules/.pnpm/@types+json-schema@7.0.15/node_modules/@types/json-schema/package.json,LICENSE
@types/json5,0.0.29,MIT,https://www.github.com/DefinitelyTyped/DefinitelyTyped.git,node_modules/.pnpm/@types+json5@0.0.29/node_modules/@types/json5/package.json,(none bundled at package root)
@types/leaflet,1.9.21,MIT,https://github.com/DefinitelyTyped/DefinitelyTyped.git,node_modules/.pnpm/@types+leaflet@1.9.21/node_modules/@types/leaflet/package.json,LICENSE
@types/node,20.19.41,MIT,https://github.com/DefinitelyTyped/DefinitelyTyped.git,node_modules/.pnpm/@types+node@20.19.41/node_modules/@types/node/package.json,LICENSE
@types/react,19.2.14,MIT,https://github.com/DefinitelyTyped/DefinitelyTyped.git,node_modules/.pnpm/@types+react@19.2.14/node_modules/@types/react/package.json,LICENSE
@types/react-dom,19.2.3,MIT,https://github.com/DefinitelyTyped/DefinitelyTyped.git,node_modules/.pnpm/@types+react-dom@19.2.3_@types+react@19.2.14/node_modules/@types/react-dom/package.json,LICENSE
@typescript-eslint/eslint-plugin,8.59.3,MIT,https://github.com/typescript-eslint/typescript-eslint.git,node_modules/.pnpm/@typescript-eslint+eslint-p_9bbc04d60de3a6dc11cc57c1a52bd7b6/node_modules/@typescript-eslint/eslint-plugin/package.json,LICENSE
@typescript-eslint/parser,8.59.3,MIT,https://github.com/typescript-eslint/typescript-eslint.git,node_modules/.pnpm/@typescript-eslint+parser@8_14e2c7ad81d04742485c732e112dbb08/node_modules/@typescript-eslint/parser/package.json,LICENSE
@typescript-eslint/project-service,8.59.3,MIT,https://github.com/typescript-eslint/typescript-eslint.git,node_modules/.pnpm/@typescript-eslint+project-service@8.59.3_typescript@5.9.3/node_modules/@typescript-eslint/project-service/package.json,LICENSE
@typescript-eslint/scope-manager,8.59.3,MIT,https://github.com/typescript-eslint/typescript-eslint.git,node_modules/.pnpm/@typescript-eslint+scope-manager@8.59.3/node_modules/@typescript-eslint/scope-manager/package.json,LICENSE
@typescript-eslint/tsconfig-utils,8.59.3,MIT,https://github.com/typescript-eslint/typescript-eslint.git,node_modules/.pnpm/@typescript-eslint+tsconfig-utils@8.59.3_typescript@5.9.3/node_modules/@typescript-eslint/tsconfig-utils/package.json,LICENSE
@typescript-eslint/type-utils,8.59.3,MIT,https://github.com/typescript-eslint/typescript-eslint.git,node_modules/.pnpm/@typescript-eslint+type-uti_33b0476218e756b634caf7bd5a605025/node_modules/@typescript-eslint/type-utils/package.json,LICENSE
@typescript-eslint/types,8.59.3,MIT,https://github.com/typescript-eslint/typescript-eslint.git,node_modules/.pnpm/@typescript-eslint+types@8.59.3/node_modules/@typescript-eslint/types/package.json,LICENSE
@typescript-eslint/typescript-estree,8.59.3,MIT,https://github.com/typescript-eslint/typescript-eslint.git,node_modules/.pnpm/@typescript-eslint+typescript-estree@8.59.3_typescript@5.9.3/node_modules/@typescript-eslint/typescript-estree/package.json,LICENSE
@typescript-eslint/utils,8.59.3,MIT,https://github.com/typescript-eslint/typescript-eslint.git,node_modules/.pnpm/@typescript-eslint+utils@8._6199c9afdfdb266d9444792cd10a6370/node_modules/@typescript-eslint/utils/package.json,LICENSE
@typescript-eslint/visitor-keys,8.59.3,MIT,https://github.com/typescript-eslint/typescript-eslint.git,node_modules/.pnpm/@typescript-eslint+visitor-keys@8.59.3/node_modules/@typescript-eslint/visitor-keys/package.json,LICENSE
@unrs/resolver-binding-win32-x64-msvc,1.11.1,MIT,git+https://github.com/unrs/unrs-resolver.git,node_modules/.pnpm/@unrs+resolver-binding-win32-x64-msvc@1.11.1/node_modules/@unrs/resolver-binding-win32-x64-msvc/package.json,(none bundled at package root)
acorn,8.16.0,MIT,git+https://github.com/acornjs/acorn.git,node_modules/.pnpm/acorn@8.16.0/node_modules/acorn/package.json,LICENSE
acorn-jsx,5.3.2,MIT,https://github.com/acornjs/acorn-jsx,node_modules/.pnpm/acorn-jsx@5.3.2_acorn@8.16.0/node_modules/acorn-jsx/package.json,LICENSE
ajv,6.15.0,MIT,https://github.com/ajv-validator/ajv.git,node_modules/.pnpm/ajv@6.15.0/node_modules/ajv/package.json,LICENSE
ansi-styles,4.3.0,MIT,chalk/ansi-styles,node_modules/.pnpm/ansi-styles@4.3.0/node_modules/ansi-styles/package.json,license
argparse,2.0.1,Python-2.0,nodeca/argparse,node_modules/.pnpm/argparse@2.0.1/node_modules/argparse/package.json,LICENSE
aria-query,5.3.2,Apache-2.0,git+https://github.com/A11yance/aria-query.git,node_modules/.pnpm/aria-query@5.3.2/node_modules/aria-query/package.json,LICENSE
array-buffer-byte-length,1.0.2,MIT,git+https://github.com/inspect-js/array-buffer-byte-length.git,node_modules/.pnpm/array-buffer-byte-length@1.0.2/node_modules/array-buffer-byte-length/package.json,LICENSE
array-includes,3.1.9,MIT,git://github.com/es-shims/array-includes.git,node_modules/.pnpm/array-includes@3.1.9/node_modules/array-includes/package.json,LICENSE
array.prototype.findlast,1.2.5,MIT,git+https://github.com/es-shims/Array.prototype.findLast.git,node_modules/.pnpm/array.prototype.findlast@1.2.5/node_modules/array.prototype.findlast/package.json,LICENSE
array.prototype.findlastindex,1.2.6,MIT,git+https://github.com/es-shims/Array.prototype.findLastIndex.git,node_modules/.pnpm/array.prototype.findlastindex@1.2.6/node_modules/array.prototype.findlastindex/package.json,LICENSE
array.prototype.flat,1.3.3,MIT,git://github.com/es-shims/Array.prototype.flat.git,node_modules/.pnpm/array.prototype.flat@1.3.3/node_modules/array.prototype.flat/package.json,LICENSE
array.prototype.flatmap,1.3.3,MIT,git://github.com/es-shims/Array.prototype.flatMap.git,node_modules/.pnpm/array.prototype.flatmap@1.3.3/node_modules/array.prototype.flatmap/package.json,LICENSE
array.prototype.tosorted,1.1.4,MIT,git+https://github.com/es-shims/Array.prototype.toSorted.git,node_modules/.pnpm/array.prototype.tosorted@1.1.4/node_modules/array.prototype.tosorted/package.json,LICENSE
arraybuffer.prototype.slice,1.0.4,MIT,git+https://github.com/es-shims/ArrayBuffer.prototype.slice.git,node_modules/.pnpm/arraybuffer.prototype.slice@1.0.4/node_modules/arraybuffer.prototype.slice/package.json,LICENSE
ast-types-flow,0.0.8,MIT,git+https://github.com/kyldvs/ast-types-flow.git,node_modules/.pnpm/ast-types-flow@0.0.8/node_modules/ast-types-flow/package.json,LICENSE
async-function,1.0.0,MIT,git+https://github.com/ljharb/async-function.git,node_modules/.pnpm/async-function@1.0.0/node_modules/async-function/package.json,LICENSE
available-typed-arrays,1.0.7,MIT,git+https://github.com/inspect-js/available-typed-arrays.git,node_modules/.pnpm/available-typed-arrays@1.0.7/node_modules/available-typed-arrays/package.json,LICENSE
axe-core,4.11.4,MPL-2.0,https://github.com/dequelabs/axe-core.git,node_modules/.pnpm/axe-core@4.11.4/node_modules/axe-core/package.json,LICENSE; LICENSE-3RD-PARTY.txt
axobject-query,4.1.0,Apache-2.0,git+https://github.com/A11yance/axobject-query.git,node_modules/.pnpm/axobject-query@4.1.0/node_modules/axobject-query/package.json,LICENSE
balanced-match,1.0.2,MIT,git://github.com/juliangruber/balanced-match.git,node_modules/.pnpm/balanced-match@1.0.2/node_modules/balanced-match/package.json,LICENSE.md
balanced-match,4.0.4,MIT,git://github.com/juliangruber/balanced-match.git,node_modules/.pnpm/balanced-match@4.0.4/node_modules/balanced-match/package.json,LICENSE.md
baseline-browser-mapping,2.10.30,Apache-2.0,git+https://github.com/web-platform-dx/baseline-browser-mapping.git,node_modules/.pnpm/baseline-browser-mapping@2.10.30/node_modules/baseline-browser-mapping/package.json,LICENSE.txt
bignumber.js,9.3.1,MIT,https://github.com/MikeMcl/bignumber.js.git,node_modules/.pnpm/bignumber.js@9.3.1/node_modules/bignumber.js/package.json,LICENCE.md
brace-expansion,1.1.14,MIT,git://github.com/juliangruber/brace-expansion.git,node_modules/.pnpm/brace-expansion@1.1.14/node_modules/brace-expansion/package.json,LICENSE
brace-expansion,5.0.6,MIT,git+ssh://git@github.com/juliangruber/brace-expansion.git,node_modules/.pnpm/brace-expansion@5.0.6/node_modules/brace-expansion/package.json,LICENSE
braces,3.0.3,MIT,micromatch/braces,node_modules/.pnpm/braces@3.0.3/node_modules/braces/package.json,LICENSE
browserslist,4.28.2,MIT,browserslist/browserslist,node_modules/.pnpm/browserslist@4.28.2/node_modules/browserslist/package.json,LICENSE
call-bind,1.0.9,MIT,git+https://github.com/ljharb/call-bind.git,node_modules/.pnpm/call-bind@1.0.9/node_modules/call-bind/package.json,LICENSE
call-bind-apply-helpers,1.0.2,MIT,git+https://github.com/ljharb/call-bind-apply-helpers.git,node_modules/.pnpm/call-bind-apply-helpers@1.0.2/node_modules/call-bind-apply-helpers/package.json,LICENSE
call-bound,1.0.4,MIT,git+https://github.com/ljharb/call-bound.git,node_modules/.pnpm/call-bound@1.0.4/node_modules/call-bound/package.json,LICENSE
callsites,3.1.0,MIT,sindresorhus/callsites,node_modules/.pnpm/callsites@3.1.0/node_modules/callsites/package.json,license
caniuse-lite,1.0.30001793,CC-BY-4.0,browserslist/caniuse-lite,node_modules/.pnpm/caniuse-lite@1.0.30001793/node_modules/caniuse-lite/package.json,LICENSE
chalk,4.1.2,MIT,chalk/chalk,node_modules/.pnpm/chalk@4.1.2/node_modules/chalk/package.json,license
client-only,0.0.1,MIT,https://reactjs.org/,node_modules/.pnpm/client-only@0.0.1/node_modules/client-only/package.json,(none bundled at package root)
color-convert,2.0.1,MIT,Qix-/color-convert,node_modules/.pnpm/color-convert@2.0.1/node_modules/color-convert/package.json,LICENSE
color-name,1.1.4,MIT,git@github.com:colorjs/color-name.git,node_modules/.pnpm/color-name@1.1.4/node_modules/color-name/package.json,LICENSE
concat-map,0.0.1,MIT,git://github.com/substack/node-concat-map.git,node_modules/.pnpm/concat-map@0.0.1/node_modules/concat-map/package.json,LICENSE
convert-source-map,2.0.0,MIT,git://github.com/thlorenz/convert-source-map.git,node_modules/.pnpm/convert-source-map@2.0.0/node_modules/convert-source-map/package.json,LICENSE
cross-spawn,7.0.6,MIT,git@github.com:moxystudio/node-cross-spawn.git,node_modules/.pnpm/cross-spawn@7.0.6/node_modules/cross-spawn/package.json,LICENSE
csstype,3.2.3,MIT,https://github.com/frenic/csstype,node_modules/.pnpm/csstype@3.2.3/node_modules/csstype/package.json,LICENSE
damerau-levenshtein,1.0.8,BSD-2-Clause,https://github.com/tad-lispy/node-damerau-levenshtein.git,node_modules/.pnpm/damerau-levenshtein@1.0.8/node_modules/damerau-levenshtein/package.json,LICENSE
data-view-buffer,1.0.2,MIT,git+https://github.com/inspect-js/data-view-buffer.git,node_modules/.pnpm/data-view-buffer@1.0.2/node_modules/data-view-buffer/package.json,LICENSE
data-view-byte-length,1.0.2,MIT,git+https://github.com/inspect-js/data-view-byte-length.git,node_modules/.pnpm/data-view-byte-length@1.0.2/node_modules/data-view-byte-length/package.json,LICENSE
data-view-byte-offset,1.0.1,MIT,git+https://github.com/inspect-js/data-view-byte-offset.git,node_modules/.pnpm/data-view-byte-offset@1.0.1/node_modules/data-view-byte-offset/package.json,LICENSE
debug,3.2.7,MIT,git://github.com/visionmedia/debug.git,node_modules/.pnpm/debug@3.2.7/node_modules/debug/package.json,LICENSE
debug,4.4.3,MIT,git://github.com/debug-js/debug.git,node_modules/.pnpm/debug@4.4.3/node_modules/debug/package.json,LICENSE
deep-is,0.1.4,MIT,http://github.com/thlorenz/deep-is.git,node_modules/.pnpm/deep-is@0.1.4/node_modules/deep-is/package.json,LICENSE
define-data-property,1.1.4,MIT,git+https://github.com/ljharb/define-data-property.git,node_modules/.pnpm/define-data-property@1.1.4/node_modules/define-data-property/package.json,LICENSE
define-properties,1.2.1,MIT,git://github.com/ljharb/define-properties.git,node_modules/.pnpm/define-properties@1.2.1/node_modules/define-properties/package.json,LICENSE
detect-libc,2.1.2,Apache-2.0,git://github.com/lovell/detect-libc.git,node_modules/.pnpm/detect-libc@2.1.2/node_modules/detect-libc/package.json,LICENSE
doctrine,2.1.0,Apache-2.0,eslint/doctrine,node_modules/.pnpm/doctrine@2.1.0/node_modules/doctrine/package.json,LICENSE; LICENSE.closure-compiler; LICENSE.esprima
dunder-proto,1.0.1,MIT,git+https://github.com/es-shims/dunder-proto.git,node_modules/.pnpm/dunder-proto@1.0.1/node_modules/dunder-proto/package.json,LICENSE
electron-to-chromium,1.5.358,ISC,git+https://github.com/Kilian/electron-to-chromium.git,node_modules/.pnpm/electron-to-chromium@1.5.358/node_modules/electron-to-chromium/package.json,LICENSE
emoji-regex,9.2.2,MIT,https://github.com/mathiasbynens/emoji-regex.git,node_modules/.pnpm/emoji-regex@9.2.2/node_modules/emoji-regex/package.json,LICENSE-MIT.txt
enhanced-resolve,5.21.3,MIT,git://github.com/webpack/enhanced-resolve.git,node_modules/.pnpm/enhanced-resolve@5.21.3/node_modules/enhanced-resolve/package.json,LICENSE
es-abstract,1.24.2,MIT,git://github.com/ljharb/es-abstract.git,node_modules/.pnpm/es-abstract@1.24.2/node_modules/es-abstract/package.json,LICENSE
es-define-property,1.0.1,MIT,git+https://github.com/ljharb/es-define-property.git,node_modules/.pnpm/es-define-property@1.0.1/node_modules/es-define-property/package.json,LICENSE
es-errors,1.3.0,MIT,git+https://github.com/ljharb/es-errors.git,node_modules/.pnpm/es-errors@1.3.0/node_modules/es-errors/package.json,LICENSE
es-iterator-helpers,1.3.2,MIT,git+https://github.com/es-shims/iterator-helpers.git,node_modules/.pnpm/es-iterator-helpers@1.3.2/node_modules/es-iterator-helpers/package.json,LICENSE
es-object-atoms,1.1.1,MIT,git+https://github.com/ljharb/es-object-atoms.git,node_modules/.pnpm/es-object-atoms@1.1.1/node_modules/es-object-atoms/package.json,LICENSE
es-set-tostringtag,2.1.0,MIT,git+https://github.com/es-shims/es-set-tostringtag.git,node_modules/.pnpm/es-set-tostringtag@2.1.0/node_modules/es-set-tostringtag/package.json,LICENSE
es-shim-unscopables,1.1.0,MIT,git+https://github.com/ljharb/es-shim-unscopables.git,node_modules/.pnpm/es-shim-unscopables@1.1.0/node_modules/es-shim-unscopables/package.json,LICENSE
